Time,Voltage,Throttled_Status,Ring_Oscillation,RPI_Model,GPIO_Pin,MAC_Address,Operating_System,Device_Machine,Computer_Name,IP_Address,Uptime,Boottime,CPU_Temp,CPU%,CPU_count,System_Calls,Current_CPU_Freq,Min_CPU_Freq,Max_CPU_Freq,System_Load_Avg_1Min,System_Load_Avg_5Min,System_Load_Avg_15Min,Process_Most_CPU,Physical_Memory,RAM_Usage,Memory%_Avaialbe,Memory%_Used,Process_Most_Memory,Disk_Usage,Disk_Space,Number_bytes_sent,Number_bytes_received,Number_packets_sent,Number_packets_received
2022-02-22 21:04:57.021740,0.926,0x0,2.580,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,up 42 minutes,2022-02-22 20:22:14,59.887,26.1,4,0,1800.0,600.0,1800.0,31.25,35.5,29.25,"{'chromium-browse': 38.7, 'python': 32.0, 'thonny': 5.7, 'Xorg': 3.5, 'mutter': 2.9, 'python3': 1.6}",8.192524288,545.583104,85.49807812300013,14.5,"{'chromium-browser': 14.66151166325355, 'Xorg': 1.9933224273646486, 'pcmanfm': 1.638295149110457}",9.1,62.52857344,3495352,499215165,38724,349508
2022-02-22 21:05:32.836466,0.926,0x0,2.580,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,up 43 minutes,2022-02-22 20:22:14,61.348,34.5,4,0,1800.0,600.0,1800.0,31.5,35.25,29.5,"{'chromium-browse': 25.700000000000003, 'thonny': 6.2, 'Xorg': 3.6, 'mutter': 2.9, 'python3': 1.6}",8.192524288,545.837056,85.39248488096761,14.6,"{'chromium-browser': 14.533069883527455, 'Xorg': 2.0016218961986434, 'pcmanfm': 1.638295149110457}",9.1,62.52857344,3496598,499232717,38744,349609
2022-02-22 21:05:55.558390,0.926,0x0,2.580,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,up 43 minutes,2022-02-22 20:22:14,58.913,1.9,4,0,600.0,600.0,1800.0,24.5,33.25,28.999999999999996,"{'chromium-browse': 21.700000000000003, 'thonny': 6.0, 'python': 5.8, 'Xorg': 3.6, 'mutter': 2.9, 'python3': 1.5}",8.192524288,545.898496,85.7004151734289,14.3,"{'chromium-browser': 14.53741960514527, 'Xorg': 1.999122056188404, 'pcmanfm': 1.638295149110457}",9.1,62.52857344,3497154,499244836,38753,349676
2022-02-22 21:07:01.069036,0.926,0x0,2.580,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,up 44 minutes,2022-02-22 20:22:14,60.861,11.7,4,0,1800.0,600.0,1800.0,18.0,29.75,28.000000000000004,"{'pip': 37.9, 'chromium-browse': 19.3, 'thonny': 5.7, 'Xorg': 3.7, 'mutter': 2.9, 'python3': 1.5}",8.192524288,548.749312,84.61238480737232,15.4,"{'chromium-browser': 14.624964002303852, 'Xorg': 2.012471201843082, 'pcmanfm': 1.638295149110457}",9.2,62.52857344,3811162,520649503,42376,364168
2022-02-22 21:08:01.519968,0.926,0x0,2.579,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,up 45 minutes,2022-02-22 20:22:14,63.783,18.6,4,0,1800.0,600.0,1800.0,26.0,28.999999999999996,27.750000000000004,"{'pip': 34.5, 'chromium-browse': 18.1, 'thonny': 5.4, 'Xorg': 3.6, 'mutter': 2.9, 'python3': 1.4}",8.192524288,582.938624,84.51084130615641,15.5,"{'chromium-browser': 14.625863944707538, 'Xorg': 1.9816231761167287, 'pcmanfm': 1.638295149110457}",9.4,62.52857344,3907225,523414526,43163,366192
2022-02-22 21:09:01.830787,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,172.16.80.101,up 46 minutes,2022-02-22 20:22:14,57.452,3.3,4,0,1000.0,600.0,1800.0,14.000000000000002,25.0,26.5,"{'chromium-browse': 18.7, 'thonny': 5.3, 'Xorg': 3.6, 'mutter': 2.8, 'python3': 1.5}",8.192524288,559.321088,85.61497064187893,14.4,"{'chromium-browser': 14.609065019838729, 'Xorg': 1.9780234065019837, 'pcmanfm': 1.638295149110457}",9.3,62.52857344,3910562,523428662,43198,366298
2022-02-22 21:10:02.229103,0.926,0x0,2.582,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,up 47 minutes,2022-02-22 20:22:14,59.887,16.6,4,0,1800.0,600.0,1800.0,17.0,24.5,26.25,"{'chromium-browse': 31.1, 'thonny': 5.3, 'Xorg': 3.6, 'mutter': 2.8, 'python3': 1.5}",8.192524288,559.616,85.37883575451171,14.6,"{'chromium-browser': 14.793753199795212, 'Xorg': 1.969123976065532, 'pcmanfm': 1.638295149110457}",9.4,62.52857344,3946227,523932068,43488,366872
2022-02-22 21:11:02.629068,0.926,0x0,2.582,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,up 48 minutes,2022-02-22 20:22:14,58.426,7.0,4,0,1800.0,600.0,1800.0,11.0,21.25,24.75,"{'chromium-browse': 26.4, 'thonny': 5.3, 'Xorg': 3.6, 'mutter': 2.8, 'python3': 1.5}",8.192524288,559.771648,85.12845177908613,14.9,"{'chromium-browser': 14.662411605657239, 'Xorg': 1.9771734608985025, 'pcmanfm': 1.638295149110457}",9.4,62.52857344,3954023,523974328,43552,366990
2022-02-22 21:12:03.204561,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,up 49 minutes,2022-02-22 20:22:14,59.887,31.1,4,0,800.0,600.0,1800.0,36.5,26.75,26.5,"{'chromium-browse': 59.2, 'thonny': 5.3, 'Xorg': 3.6, 'mutter': 2.9, 'python3': 1.5}",8.192524288,560.996352,84.39174892806861,15.6,"{'chromium-browser': 15.129331722769743, 'Xorg': 1.9744236368872392, 'pcmanfm': 1.638495136311276}",9.4,62.52857344,4121559,526335122,44571,369365
2022-02-22 21:13:03.529316,0.926,0x0,2.582,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,up 50 minutes,2022-02-22 20:22:14,58.426,4.7,4,0,1800.0,600.0,1800.0,21.25,23.75,25.5,"{'chromium-browse': 36.9, 'thonny': 5.3, 'Xorg': 3.6, 'mutter': 2.9, 'python3': 1.5}",8.192524288,561.123328,84.40919781134008,15.6,"{'chromium-browser': 15.055436452067068, 'Xorg': 1.9753235792909254, 'pcmanfm': 1.638495136311276}",9.4,62.52857344,4126478,526353111,44623,369491
